,carYear,modelName,trimName,mileage,wheelSystem,exteriorColorName,fleet,hasAccidents,Date,daysOnMarket,ownerCount,price,msrpString,savingsRecommendation,serviceProviderName,sellerRating,dealScore,sellerCity,priceDifferential,expectedPrice,vehicleIdentifier
65,2013,Model S,85 RWD,66197.0,RWD,Red,True,False,2/16/2019,78,1.0,32477.0,,Good Deal,Go Auto Brokers,5.0,1.293248052,"Bellevue, WA",3321.0,35798,5YJSA1CN4DFP27474
66,2017,Model S,75 RWD,25808.0,RWD,Black,True,False,4/12/2019,23,1.0,49948.0,55991.0,Good Deal,Hyundai Serramonte,3.86,1.293059727,"Colma, CA",3186.0,53134,5YJSA1E16HF218941
67,2018,Model S,P100D AWD,9101.0,AWD,Silver,False,False,4/16/2019,19,1.0,98988.0,,Good Deal,Rolls-Royce Motor Cars Raleigh,4.42,1.283923368,"Raleigh, NC",11304.0,110292,5YJSA1E48JF261144
68,2015,Model S,85 RWD,36870.0,RWD,Blue,False,False,4/26/2019,9,1.0,38555.0,,Good Deal,Sam Jidd Luxury,4.12,1.280384474,"Des Plaines, IL",4114.0,42669,5YJSA1E14FF114896
69,2018,Model S,100D AWD,2064.0,,Black,False,False,3/22/2019,43,1.0,82982.0,,Good Deal,Centennial Leasing & Sales,4.43,1.272591697,"Englewood, CO",4776.0,87758,5YJSA1E23JF285589
70,2013,Model S,60 RWD,83000.0,RWD,White,True,True,4/26/2019,8,1.0,27900.0,,Good Deal,Brilliant Auto Sales,4.11,1.2624413970000001,"New Brunswick, NJ",2713.0,30613,5YJSA1AG3DFP04966
71,2016,Model S,90D AWD,33392.0,AWD,Unknown,False,False,4/19/2019,15,1.0,53799.0,,Good Deal,MotorCars of Nashville,3.9,1.260839835,"Mt Juliet, TN",6491.0,60290,5YJSA1E28GF128505
72,2015,Model S,P90D AWD,32836.0,AWD,Gray,False,True,5/4/2019,1,2.0,53999.0,104500.0,Good Deal,AX Auto Inc,3.88,1.25753103,"Atlanta, GA",7289.0,61288,5YJSA1V44FF099200
73,2016,Model S,90D AWD,40385.0,AWD,Unknown,False,False,11/12/2018,173,1.0,50621.0,55290.0,Good Deal,Roesch Ford,4.52,1.249768166,"Bensenville, IL",6434.0,57055,5YJSA1E21GF130564
74,2018,Model S,75D AWD,3584.0,AWD,Black,True,True,4/25/2019,9,1.0,59855.0,,Good Deal,Sam Jidd Luxury,4.12,1.245149799,"Des Plaines, IL",4972.0,64827,5YJSA1E2XJF293656
75,2017,Model S,75 RWD,30079.0,RWD,Black,True,False,4/24/2019,11,1.0,48863.0,,Good Deal,Folsom Lake Toyota,4.44,1.2443650259999999,"Folsom, CA",3066.0,51929,5YJSA1E16HF202593
76,2016,Model S,70D AWD,15838.0,AWD,Blue,False,False,4/27/2019,8,1.0,43990.0,75000.0,Good Deal,NextGear Motors,4.53,1.242137974,"Raleigh, NC",5483.0,49473,5YJSA1E20GF130653
77,2017,Model S,75D AWD,8196.0,AWD,Blue,False,False,5/1/2019,4,1.0,63495.0,,Good Deal,Texas Cars Direct,4.61,1.2395396140000001,"Dallas, TX",3107.0,66602,5YJSA1E22HF194758
78,2017,Model S,P100D AWD,13979.0,AWD,Blue,False,False,3/16/2019,50,1.0,99999.0,,Good Deal,Arcari Motor Sales,4.0,1.220281997,"Tolland, CT",6838.0,106837,5YJSA1E44HF227597
79,2016,Model S,P100D AWD,32856.0,AWD,Unknown,False,False,1/18/2019,106,1.0,87900.0,98500.0,Good Deal,Greenwood Automotive,4.77,1.21235862,"Greenwood Village, CO",7709.0,95609,5YJSA1E49GF177648
80,2017,Model S,75 RWD,26516.0,RWD,Silver,True,False,5/1/2019,4,1.0,49972.0,,Good Deal,Folsom Lake Toyota,4.44,1.202162951,"Folsom, CA",2962.0,52934,5YJSA1E15HF218932
81,2013,Model S,Performance RWD,67660.0,RWD,Brown,False,False,4/22/2019,12,3.0,33995.0,,Good Deal,Caragents,4.44,1.195721675,"San Rafael, CA",4271.0,38266,5YJSA1DP7DFP13083
82,2016,Model S,P100D AWD,15245.0,AWD,Black,False,False,4/2/2019,33,1.0,92999.0,,Good Deal,Volvo Cars of Exeter,4.82,1.193172355,"Exeter, NH",7587.0,100586,5YJSA1E46GF171032
83,2013,Model S,60 RWD,93670.0,RWD,Green,False,False,5/4/2019,1,1.0,27590.0,,Good Deal,Lou Fusz Mazda,4.17,1.18893724,"Saint Louis, MO",2555.0,30145,5YJSA1CG7DFP20987
84,2013,Model S,Performance RWD,24754.0,RWD,Black,False,False,12/20/2018,136,1.0,39695.0,,Good Deal,Jax Exports Inc.,4.36,1.186204101,"Jacksonville, FL",4237.0,43932,5YJSA1DP2DFP17039
85,2016,Model S,70D AWD,30597.0,AWD,White,False,True,4/12/2019,23,1.0,40855.0,,Good Deal,Sam Jidd Luxury,4.12,1.185439583,"Des Plaines, IL",4507.0,45362,5YJSA1E23GF132395
86,2016,Model S,70 RWD,33469.0,RWD,Unknown,False,True,4/12/2019,23,1.0,38555.0,,Good Deal,Sam Jidd Luxury,4.12,1.168460516,"Des Plaines, IL",5128.0,43683,5YJSA1E12GF131441
87,2013,Model S,Performance RWD,18328.0,RWD,Black,False,False,1/10/2019,114,2.0,40970.0,,Good Deal,"Milan Motors, LLC",4.4,1.16352988,"Little Ferry, NJ",4156.0,45126,5YJSA1DP9DFP20066
88,2016,Model S,90D AWD,13121.0,AWD,Red,False,False,4/24/2019,10,1.0,58977.0,,Good Deal,iDrive1 Motorcars,4.56,1.159446657,"Carrollton, TX",5969.0,64946,5YJSA1E21GF125798
89,2016,Model S,90D AWD,21860.0,AWD,Gray,False,False,4/25/2019,10,1.0,56999.0,,Good Deal,Las Vegas Auto Sports,4.49,1.153813703,"Las Vegas, NV",5940.0,62939,5YJSA1E28GF138239
90,2015,Model S,70 RWD,50332.0,RWD,Blue,False,False,3/18/2019,47,2.0,37200.0,,Good Deal,"Driven Ev, LLC",5.0,1.15329773,"Livermore, CA",2512.0,39712,5YJSA1E12FF101967
91,2016,Model S,85D AWD,29975.0,AWD,Silver,False,False,4/18/2019,17,2.0,45990.0,75000.0,Good Deal,NextGear Motors,4.53,1.152487348,"Raleigh, NC",6307.0,52297,5YJSA1E2XGF128988
92,2017,Model S,75 RWD,15843.0,RWD,Black,True,True,3/22/2019,44,1.0,50995.0,,Good Deal,San Diego Auto Finder,4.12,1.151845093,"San Diego, CA",2838.0,53833,5YJSA1E19HF200076
93,2016,Model S,60D AWD,13353.0,AWD,Silver,False,False,5/4/2019,1,1.0,49989.0,54995.0,Good Deal,Auto Centrix,4.62,1.149548604,"Carrollton, TX",7002.0,56991,5YJSA1E21GF130743
94,2015,Model S,70D AWD,50839.0,AWD,White,False,False,3/25/2019,40,2.0,36995.0,75000.0,Good Deal,RDU Auto Sales,4.71,1.145206092,"Raleigh, NC",3011.0,40006,5YJSA1S2XFF082226
95,2016,Model S,70D AWD,23870.0,AWD,Silver,False,False,1/29/2019,96,1.0,43995.0,,Good Deal,Car Time Inc,4.0,1.1388866979999999,"San Jose, CA",4330.0,48325,5YJSA1E25GF122192
96,2015,Model S,85D AWD,34601.0,AWD,Gray,False,False,3/30/2019,35,1.0,42599.0,,Good Deal,MotorCars of Nashville,3.9,1.1281377240000001,"Mt Juliet, TN",5459.0,48058,5YJSA1E26FF116092
97,2013,Model S,85 RWD,29487.0,RWD,Red,False,True,12/13/2018,143,1.0,33990.0,,Good Deal,Da Vinci Automotive,4.56,1.120773409,"Jacksonville, FL",2878.0,36868,5YJSA1CNXDFP20092
