,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
823,2013,Model S,Base,67345,RWD,Automatic,White,Beige,33500,more than 1,,34911.0,Good,NOT HOT,,Free CARFAX Report,Ganley Subaru of Bedford,4.9,315.0,44146.0,4.9,47,5YJSA1CG1DFP14716
824,2014,Model S,Base,51720,RWD,Automatic,Gray,Black,35585,more than 1,,37647.0,Good,NOT HOT,,Free CARFAX Report,Leckner Chrysler Dodge Jeep RAM,4.5,61.0,22485.0,4.9,33,5YJSA1S19EFP37708
825,2017,Model S,75,16887,RWD,Automatic,White,Black,53900,1,,56995.0,Good,HOT CAR,9.0,Free CARFAX 1-Owner Report,Winn Volkswagen,4.7,22.0,94560.0,4.7,25,5YJSA1E11HF218927
826,2017,Model S,75,30079,RWD,Automatic,Black,Other,48863,1,49976.0,55179.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Folsom Lake Toyota,4.7,170.0,95630.0,4.7,25,5YJSA1E16HF202593
827,2018,Model X,75D,14097,AWD,Automatic,Black,Other,79969,1,,76365.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Folsom Lake Toyota,4.7,170.0,95630.0,5.0,5,5YJXCBE28JF110261
828,2017,Model X,100D,18198,AWD,Automatic,Blue,White,88000,1,90000.0,90341.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Auto Quest,4.6,57.0,98108.0,4.9,17,5YJXCBE28HF063324
829,2015,Model S,90D,30460,AWD,Automatic,Silver,Beige,49915,more than 1,,53540.0,Good,NOT HOT,,Free CARFAX Report,Ramsey Auto Center,4.7,760.0,50322.0,4.8,41,5YJSA1E23FF102554
830,2014,Model S,Performance,24215,AWD,Automatic,Brown,Black,48595,more than 1,49995.0,45887.0,Fair,NOT HOT,,Free CARFAX Report,RDU Auto Sales,5.0,107.0,27610.0,4.9,33,5YJSA1H28EFP65161
831,2014,Model S,P85,83640,RWD,Automatic,Red,Black,36989,1,,33589.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Auto Centrix,5.0,6.0,75006.0,4.9,33,5YJSA1H1XEFP45114
832,2016,Model S,70D,26681,AWD,Automatic,Gold,Black,49999,1,,54706.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Perfect 10 Auto,5.0,9.0,55432.0,4.8,27,5YJSA1E24GF123205
833,2018,Model S,75D,13307,AWD,Automatic,Black,Black,59500,1,,61834.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,LW Automotive,4.6,136.0,15237.0,4.8,5,5YJSA1E26JF234216
835,2018,Model X,75D,1379,AWD,Automatic,White,Black,82995,1,,85219.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Richard Catena Auto Wholesalers,4.7,920.0,7608.0,5.0,5,5YJXCDE23JF113516
836,2016,Model X,90D,33384,AWD,Automatic,Silver,Beige,67995,more than 1,,69123.0,Good,NOT HOT,,Free CARFAX Report,Richard Catena Auto Wholesalers,4.7,920.0,7608.0,5.0,12,5YJXCBE29GF012090
837,2018,Model X,100D,11021,AWD,Automatic,White,Black,94995,1,,98417.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Richard Catena Auto Wholesalers,4.7,920.0,7608.0,5.0,5,5YJXCBE28JF102872
838,2016,Model S,75D,31623,AWD,Automatic,Gray,Other,49991,more than 1,,55127.0,Good,NOT HOT,,Free CARFAX Report,Manheim Imports,4.9,155.0,17545.0,4.8,27,5YJSA1E20GF152393
839,2017,Model X,,12398,AWD,Automatic,Black,Other,87000,1,,91102.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Larry H. Miller Toyota Boulder,4.7,731.0,80301.0,4.9,17,5YJXCBE20HF051121
