"","hotornot","year","config","drivetrain","mileage.x","ext_color","int_color","price.x","good_deal_margin","deal","dealer","dealer_rating","dealer_review_number","consumer_rating","consumer_review_number","fleet","hasAccidents","daysOnMarket","ownerCount"
"649","NOT HOT",2014,"Base","RWD",9300,"Gray","Black",49991,53476,"Good","Choice Auto Center",3.9,15,4.9,33,"False","False",123,1
"650","NOT HOT",2014,"Base","RWD",68500,"Black","Black",33500,51836.0835579515,"not_rating","private_seller",4.39333333333333,592.363265306122,4.9,33,"False","False",72,2
"651","NOT HOT",2014,"Base","RWD",40609,"Black","Beige",37588,40081,"Good","Haims Motors Ft. Lauderdale",4.7,403,4.9,33,"False","False",374,1
"652","NOT HOT",2014,"60 kWh Battery","RWD",50937,"Blue","Beige",36989,45075,"Great","Auto Centrix",5,6,4.9,33,"False","False",25,1
"653","NOT HOT",2014,"Base","RWD",49933,"White","Black",35900,41419,"Great","Cash for Cars",4,2,4.9,33,"False","False",40,2
"654","NOT HOT",2014,"Base","RWD",29212,"Blue","Beige",39995,46117,"Great","Auto Expo Ent Inc",4.8,1014,4.9,33,"False","True",240,1
"655","NOT HOT",2015,"70D","RWD",64531,"White","Beige",34978,36901,"Good","Hanna Imports",4.9,1917,4.8,41,"False","True",15,2
"656","NOT HOT",2014,"Base","RWD",55794,"Green","Beige",35595,35130,"Fair","Jidd Motors",4.7,1418,4.9,33,"True","False",193,1
"657","NOT HOT",2014,"Base","RWD",72859,"Silver","Beige",31760,29944,"Fair","Lawrence Kia",4.1,177,4.9,33,"False","False",26,1
"658","NOT HOT",2014,"Base","RWD",36934,"White","Gray",31833,42028,"Great","Gold Coast Motorsports",4.6,82,4.9,33,"True","False",127,1
"659","NOT HOT",2014,"Base","4x2/2-wheel drive",50621,"Red","Black",34988,36405,"Good","Ride N Drive",4.7,11,4.9,33,"False","False",189,3
"660","NOT HOT",2014,"Base","RWD",44207,"Gray","Black",49496,51836.0835579515,"not_rating","AlphaCars",5,47,4.9,33,"False","False",165,2
"661","NOT HOT",2014,"Base","RWD",35978,"Green","Beige",40995,45320,"Good","Universal Mitsubishi",4.9,426,4.9,33,"False","False",392,1
"662","NOT HOT",2014,"Base","RWD",19206,"Black","Black",49995,54792,"Good","AUTOSOURCE",2,11,4.9,33,"False","True",49,2
"663","NOT HOT",2015,"60","RWD",31660,"Silver","Black",42888,48631,"Good","Private Collection Motors",4,52,4.8,41,"False","False",186,1
"664","NOT HOT",2014,"Base","RWD",35737,"Black","Beige",34000,38253,"Good","Nelson Automotive",5,39,4.9,33,"True","True",60,1
"665","NOT HOT",2014,"Base","RWD",48812,"Gray","Other",39469,42359,"Good","private_seller",3,2,4.9,33,"False","True",113,2
"666","NOT HOT",2015,"85D","RWD",20140,"Silver","Other",42555,46863,"Good","Sam Jidd Luxury LLC",3.9,7,4.8,41,"False","False",51,1
"667","NOT HOT",2014,"Base","RWD",48139,"Black","Beige",37997,39239,"Good","North American Auto Group",4.39333333333333,592.363265306122,4.9,33,"False","False",24,2
"668","HOT CAR",2014,"Base","RWD",52499,"White","Gray",40000,42074,"Good","INFINITI of Marin",4.39333333333333,592.363265306122,4.9,33,"True","False",10,2
"669","NOT HOT",2014,"Base","RWD",52326,"Blue","Beige",37995,38124,"Good","Imperial Highline",4.6,29,4.9,33,"True","False",255,2
"670","NOT HOT",2014,"Base","RWD",59202,"Silver","Gray",38977,41396,"Good","Victory Honda of Morgan Hill",1,1,4.9,33,"False","False",12,2
"671","NOT HOT",2015,"60","RWD",28602,"White","Black",38995,45302,"Good","Highline Auto Sales",4.6,272,4.8,41,"False","False",8,1
"672","NOT HOT",2014,"Base","RWD",54246,"Gray","Gray",37950,42148,"Good","Park Place LTD",2.4,18,4.9,33,"False","False",254,3
"673","NOT HOT",2014,"Base","RWD",25344,"Green","Black",41995,46451,"Good","Bell Mitsubishi",4.9,466,4.9,33,"False","False",63,1
"674","NOT HOT",2015,"60","RWD",42879,"Black","Other",41490,42358,"Good","Discovery Auto Center, LLC",3.9,37,4.8,41,"False","True",409,1
"675","NOT HOT",2015,"60","RWD",17203,"Blue","Other",42800,46214,"Good","United Imports",4.7,93,4.8,41,"False","False",233,1
"676","NOT HOT",2014,"Base","RWD",40622,"White","Beige",36199,40378,"Good","OffLeaseOnly.com The Nation's Used Car Destination",4.9,15230,4.9,33,"False","True",204,2
"677","NOT HOT",2015,"kWh Battery","RWD",36378,"White","Beige",42000,43312,"Good","K&S Auto Sales",5,39,4.8,41,"False","False",50,1
"678","NOT HOT",2014,"Base","RWD",61494,"White","Black",31989,35880,"Good","Houston Direct Auto",2.6,77,4.9,33,"False","False",145,2
"679","NOT HOT",2014,"Base","RWD",74000,"Brown","Other",33629,40327,"Great","private_seller",3,2,4.9,33,"False","False",30,2
"680","NOT HOT",2015,"60","RWD",30044,"Black","Black",39999,44494,"Good","Modern Motorcars",4.9,419,4.8,41,"False","False",229,2
"681","NOT HOT",2014,"Base","RWD",61231,"Black","Beige",29995,35062,"Great","Highline Auto Sales",4.6,272,4.9,33,"False","False",39,3
"682","NOT HOT",2014,"Base","RWD",23998,"Red","Beige",34995,39838,"Good","RDU Auto Sales",5,107,4.9,33,"False","True",81,1
"683","NOT HOT",2014,"Base","RWD",51720,"Gray","Black",35585,37647,"Good","Leckner Chrysler Dodge Jeep RAM",4.5,61,4.9,33,"True","False",250,2
"684","NOT HOT",2014,"Base","RWD",50360,"Black","Black",38995,38378,"Fair","ANF Auto Finance",3.8,116,4.9,33,"False","False",201,2
"685","NOT HOT",2014,"Base","RWD",38758,"White","Black",42000,42737,"Good","Motors Northwest",4.2,34,4.9,33,"False","False",31,1
"686","NOT HOT",2015,"60","RWD",31674,"White","Black",39599,44587,"Good","OffLeaseOnly.com The Nation's Used Car Destination",4.9,15230,4.8,41,"False","False",197,1
"687","NOT HOT",2015,"85D","RWD",37766,"Black","Black",37895,51836.0835579515,"not_rating","Miami Car Credit",4.8,1176,4.8,41,"False","True",166,1
"688","NOT HOT",2015,"60","RWD",41351,"Black","Black",38799,42552,"Good","Motor Cars of Nashville",4.3,40,4.8,41,"False","False",21,1
"689","NOT HOT",2015,"60","RWD",29537,"Blue","Beige",39995,44587,"Good","San Diego Auto Finder",5,6,4.8,41,"False","False",52,1
"690","NOT HOT",2015,"70D","AWD",39970,"Gray","Black",40377,42915,"Good","Wholesale Inc.",4.8,340,4.8,41,"False","False",9,1
"691","NOT HOT",2015,"70D","AWD",44260,"Blue","Other",43991,43507,"Fair","Excellent Choice Auto Sales",4.39333333333333,592.363265306122,4.8,41,"False","False",22,1
"692","NOT HOT",2015,"70D","AWD",43650,"Black","Gray",39888,42573,"Good","Private Collection Motors",4,52,4.8,41,"False","True",156,1
"693","NOT HOT",2015,"70D","AWD",37962,"Black","Other",38995,42827,"Good","United Imports",4.7,93,4.8,41,"False","True",264,1
"694","NOT HOT",2015,"70D","AWD",37585,"Other","Black",37995,51836.0835579515,"not_rating","Highline Auto Sales",4.6,272,4.8,41,"False","False",15,1
"695","NOT HOT",2015,"70D","AWD",43098,"Silver","Gray",43000,47965,"Good","Carbiz Greater Washington DC",4.7,74,4.8,41,"True","False",18,1
"696","NOT HOT",2015,"70D","AWD",57289,"Silver","Black",39950,41155,"Good","Roadsport",4.39333333333333,592.363265306122,4.8,41,"False","False",360,1
"697","NOT HOT",2015,"70D","AWD",31350,"Gray","Gray",44988,45983,"Good","iDeal Motors",5,28,4.8,41,"False","False",42,1
"698","NOT HOT",2015,"70D","AWD",34717,"White","Black",44000,48529,"Good","Carbiz Greater Washington DC",4.7,74,4.8,41,"False","False",22,2
"699","NOT HOT",2015,"70D","AWD",20524,"White","Black",48996,54391,"Good","Certified Autoplex, Inc.",4.8,1330,4.8,41,"False","False",138,1
"700","NOT HOT",2015,"70D","AWD",7712,"Blue","Gray",46988,46658,"Fair","iDeal Motors",5,28,4.8,41,"True","False",22,1
"701","HOT CAR",2015,"70D","AWD",51353,"Black","Black",41900,41504,"Fair","Sky Motor Cars",4.9,208,4.8,41,"False","False",9,2
"702","NOT HOT",2015,"70D","AWD",50166,"Blue","Black",32495,51836.0835579515,"not_rating","Northern Kentucky Auto Sales",4.3,68,4.8,41,"False","False",248,1
"703","NOT HOT",2015,"70D","RWD",50839,"White","Beige",36995,37918,"Good","RDU Auto Sales",5,107,4.8,41,"False","False",40,2
"704","NOT HOT",2015,"70D","AWD",23789,"Blue","Black",44995,48446,"Good","Auto Expo Ent Inc",4.8,1014,4.8,41,"True","True",273,1
"705","NOT HOT",2015,"90D","AWD",21845,"Gray","Black",47000,51836.0835579515,"not_rating","Alpha Motorsports",4.7,840,4.8,41,"False","True",206,1
"706","NOT HOT",2015,"90D","AWD",27433,"Silver","Black",49995,53831,"Good","No. 1 Auto Sales",4.39333333333333,592.363265306122,4.8,41,"False","True",222,1
"707","NOT HOT",2015,"90D","AWD",36902,"White","Other",68500,68428,"Good","Raptor Automotive",4.3,13,4.8,41,"False","False",31,1
"708","NOT HOT",2015,"90D","AWD",96900,"Black","Black",53000,46699,"Fair","Sunshine Auto Mall",5,211,4.8,41,"False","True",70,1
"709","HOT CAR",2015,"85D","AWD",8323,"Gray","Gray",56998,60804,"Good","Kalispell Toyota",4.8,46,4.8,41,"False","False",10,2
"710","NOT HOT",2015,"85D","AWD",28200,"Red","Black",44962,49938,"Good","Carbone Hyundai of Yorkville",4.7,295,4.8,41,"False","False",43,1
