carfax,config,consumer_rating,consumer_review_number,deal,dealer,dealer_rating,dealer_review_number,dealer_zipcode,drivetrain,ext_color,good_deal_margin,hotornot,int_color,mileage,model,ori_price,owners,price,sellin,transmission,vin,year
Free CARFAX 1-Owner Report,90D,5.0,12,Good,Auto Quest,4.6,57,98108,AWD,Black,"$77,350",NOT HOT,Black,30288,Model X,73000,1,72500,nan,Automatic,5YJXCBE22GF004820,2016
Free CARFAX Report,Performance,4.9,47,Good,Certified Benz & Beemer,4.9,7384,85257,RWD,White,"$45,934",HOT CAR,Black,36614,Model S,,more than 1,42000,10,Automatic,5YJSA1CPXDFP04203,2013
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,326,85281,RWD,Gray,"$53,609",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX Report,Performance,4.9,47,Great,Family Auto,5.0,2,84062,RWD,Blue,"$40,763",NOT HOT,Beige,86297,Model S,,more than 1,34999,nan,Automatic,5YJSA1DP1DFP13497,2013
Free CARFAX 1-Owner Report,85D,4.8,41,Good,Power Ford,4.7,1612,87107,AWD,Black,"$55,130",NOT HOT,Other,20541,Model S,,1,49994,nan,Automatic,5YJSA1E26FF119140,2015
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,92105,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,89109,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,78701,RWD,Silver,"$53,968",HOT CAR,Black,3635,Model 3,,1,47000,7,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,320,33166,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX Report,100D,4.9,17,Great,Carvana,4.4,326,85281,AWD,White,"$98,202",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,321,80202,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,85D,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15230,77074,AWD,Silver,"$46,472",NOT HOT,Gray,22871,Model S,,1,44399,nan,Automatic,5YJSA1H25FF099636,2015
Free CARFAX 1-Owner Report,100D,4.8,5,Good,Centennial Leasing & Sales,5.0,553,80112,AWD,Black,"$88,939",NOT HOT,Black,2064,Model S,,1,82982,nan,Automatic,5YJSA1E23JF285589,2018
Free CARFAX 1-Owner Report,85,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,13060,33054,RWD,Silver,"$45,866",NOT HOT,Beige,27675,Model S,,1,41099,nan,Automatic,5YJSA1H19FF087626,2015
Free CARFAX 1-Owner Report,85D,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,13782,30122,AWD,Silver,"$46,491",NOT HOT,Gray,22871,Model S,,1,44399,nan,Automatic,5YJSA1H25FF099636,2015
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,323,46204,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,29201,RWD,Gray,"$53,609",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,320,23219,RWD,Gray,"$53,609",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,14618,RWD,Gray,"$53,686",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX Report,100D,4.9,17,Great,Carvana,4.4,319,90309,AWD,White,"$97,396",NOT HOT,Black,17249,Model X,85200,more than 1,83500,nan,Automatic,5YJXCBE28HF076686,2017
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,324,77074,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,85,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15230,75081,RWD,Silver,"$45,963",NOT HOT,Beige,27675,Model S,,1,41099,nan,Automatic,5YJSA1H19FF087626,2015
Free CARFAX 1-Owner Report,75,4.7,25,Good,eCarOne.com,4.9,1906,75006,RWD,Silver,"$58,302",NOT HOT,Black,23361,Model S,,1,54450,nan,Automatic,5YJSA1E11HF206535,2017
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.5,607,30318,RWD,Gray,"$53,609",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,75,4.7,25,Good,eCarOne.com,4.9,1906,75006,RWD,Black,"$58,302",NOT HOT,Black,27259,Model S,,1,53950,nan,Automatic,5YJSA1E1XHF202757,2017
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,02903,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX 1-Owner Report,Performance,4.6,11,Good,Earth Motorcars,4.6,307,75006,RWD,Brown,"$38,480",NOT HOT,Gray,50171,Model S,,1,36484,nan,Other / Unknown,5YJSA1DP8CFS01069,2012
Free CARFAX 1-Owner Report,60 kWh Battery,4.9,33,Great,Auto Centrix,5.0,6,75006,RWD,Blue,"$45,075",NOT HOT,Beige,50937,Model S,,1,36989,nan,Automatic,5YJSA1S11EFP61615,2014
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,326,85281,RWD,Silver,"$53,968",NOT HOT,Black,3635,Model 3,,1,47000,nan,Automatic,5YJ3E1EAXJF048825,2018
Free CARFAX Report,Base,4.9,33,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15230,77074,RWD,White,"$39,704",NOT HOT,Beige,40622,Model S,,more than 1,36199,nan,Automatic,5YJSA1S16EFP42901,2014
Free CARFAX 1-Owner Report,85D,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15688,32822,AWD,Silver,"$48,925",NOT HOT,Gray,22871,Model S,,1,44399,nan,Automatic,5YJSA1H25FF099636,2015
Free CARFAX 1-Owner Report,85,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15688,32822,RWD,Gray,"$49,162",NOT HOT,Beige,18978,Model S,,1,44799,nan,Automatic,5YJSA1H19FF100911,2015
Free CARFAX 1-Owner Report,85,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,13782,30122,RWD,Gray,"$46,521",NOT HOT,Beige,18978,Model S,,1,44799,nan,Automatic,5YJSA1H19FF100911,2015
Free CARFAX 1-Owner Report,P100D,4.7,25,Good,VW Audi of Naples,4.9,3016,34104,AWD,Other,"$109,464",NOT HOT,White,11463,Model S,,1,105000,nan,Automatic,5YJSA1E4XHF217348,2017
Free CARFAX 1-Owner Report,,4.5,69,Great,Carvana,4.4,319,11716,RWD,Gray,"$53,609",NOT HOT,Black,15142,Model 3,,1,45100,nan,Automatic,5YJ3E1EA5JF002867,2018
Free CARFAX 1-Owner Report,Base,4.9,47,Great,Classic Cars Of Palm Beach LLC,5.0,111,33469,RWD,Green,"$41,003",NOT HOT,Beige,41152,Model S,,1,34900,nan,Automatic,5YJSA1AC1DFP10794,2013
Free CARFAX 1-Owner Report,85,4.8,41,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15230,77074,RWD,Silver,"$45,963",NOT HOT,Beige,27675,Model S,,1,41099,nan,Automatic,5YJSA1H19FF087626,2015
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Great,Vroom (Online Dealer - Nationwide Delivery),3.3,4,55404,RWD,Black,"$54,771",NOT HOT,Black,8490,Model 3,,1,47530,nan,Automatic,5YJ3E1EA4JF056435,2018
Free CARFAX 1-Owner Report,70D,4.8,27,Good,OffLeaseOnly.com The Nation's Used Car Destination,4.9,15688,32822,AWD,Blue,"$54,400",NOT HOT,Beige,9752,Model S,,1,49599,nan,Automatic,5YJSA1E23GF124541,2016
Free CARFAX 1-Owner Report,90D,4.8,41,Good,Ferman BMW,4.8,2622,34684,AWD,Silver,"$61,050",NOT HOT,Other,35903,Model S,59000,1,58500,nan,Automatic,5YJSA1E43FF119078,2015
