,fleet,listedDate,listedDate,Date,price,exteriorColorName,mileage,msrpString,trimName,daysOnMarket,ownerCount,sellerRating,serviceProviderName,carYear,savingsRecommendation,vehicleIdentifier,sellerCity,dealScore,hasAccidents,priceDifferential,expectedPrice,modelName,wheelSystem,makeName
97,FALSE,1544685606000,1544685606,12/13/2018,33990,Red,29487,,85 RWD,143,1,4.56,Da Vinci Automotive,2013,Good Deal,5YJSA1CNXDFP20092,"Jacksonville, FL",1.120773409,TRUE,2878,36868,Model S,RWD,Tesla
98,FALSE,1547546229000,1547546229,1/15/2019,41499,Black,32432,"$50,199",85D AWD,110,1,3.38,North Coast Auto Mall Akron,2015,Good Deal,5YJSA1H21FF087273,"Akron, OH",1.120491653,TRUE,5422,46921,Model S,AWD,Tesla
99,FALSE,1549406679000,1549406679,2/5/2019,43995,Gray,24498,,70D AWD,88,1,4.57,Highline Motor Cars,2016,Good Deal,5YJSA1E23GF130727,"Southampton, NJ",1.11547875,FALSE,4241,48236,Model S,AWD,Tesla
100,FALSE,1547761517000,1547761517,1/17/2019,51700,Black,23230,,90D AWD,107,1,4.09,Marietta Luxury Motors,2016,Good Deal,5YJSA1E23GF131957,"Marietta, GA",1.113800303,TRUE,5734,57434,Model S,AWD,Tesla
101,TRUE,1554340868000,1554340868,4/3/2019,26990,Blue,100459,,60 RWD,31,2,5,CV Wholesale,2013,Good Deal,5YJSA1DG1DFP04881,"Green Bay, WI",1.113572217,FALSE,2393,29383,Model S,RWD,Tesla
102,FALSE,1529575306000,1529575306,6/21/2018,34990,Silver,54205,"$105,400",Performance RWD,318,1,4.55,VIRGINIA LUXURY MOTORS,2013,Good Deal,5YJSA1DN7DFP19853,"Chantilly, VA",1.113142723,TRUE,3976,38966,Model S,RWD,Tesla
103,FALSE,1545192289000,1545192289,12/18/2018,30998,Brown,50677,,40 RWD,137,1,3.88,Hanna Imports,2013,Good Deal,5YJSA1AC0DFP11161,"Raleigh, NC",1.112974474,FALSE,4385,35383,Model S,RWD,Tesla
104,TRUE,1555095299000,1555095299,4/12/2019,30950,Black,101008,,Signature Performance RWD,22,2,5,Beta Automotive Superstore,2012,Good Deal,5YJSA1DP4CFS00727,"Livermore, CA",1.108613859,TRUE,3032,33982,Model S,RWD,Tesla
105,FALSE,1533888583000,1533888583,8/10/2018,37147,Gray,44270,,Performance RWD,268,3,4.9,Elegant Auto Brokers Inc,2013,Good Deal,5YJSA1CP2DFP27829,"Alpharetta, GA",1.108104007,FALSE,3958,41105,Model S,RWD,Tesla
106,FALSE,1556227355000,1556227355,4/25/2019,60989,Red,5624,"$64,995",90D AWD,9,1,4.62,Auto Centrix,2016,Good Deal,5YJSA1E23GF131201,"Carrollton, TX",1.103117114,FALSE,5679,66668,Model S,AWD,Tesla
